,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
200,TAGLN2,8.45875113474135e-178,-0.4846688760796,-0.4512809759274,-0.518056776231801,5.10316455958946e-176
201,PLAAT3,5.5645055056101e-177,-0.337609292431165,-0.315084178541284,-0.360134406321047,3.34036434978564e-175
202,ATF5,3.58841182361649e-176,-0.498744618884219,-0.46565945942049,-0.531829778347948,2.14345431008696e-174
203,OAS3,3.86086198579435e-176,-0.371274062067675,-0.343110575478349,-0.399437548657001,2.29483550347757e-174
204,NR4A1,6.8644245597049e-175,0.724730706465819,0.773727510907339,0.675733902024299,4.06010523222546e-173
205,CITED2,1.28858479509077e-174,0.658577061159532,0.704887081171577,0.612267041147487,7.58442153051961e-173
206,DDIT3,6.62412695239484e-174,0.500420519874479,0.535895431790523,0.464945607958435,3.87993766056292e-172
207,PITPNC1,1.18009146065859e-172,0.32929934807832,0.353153905569759,0.30544479058688,6.87873602140415e-171
208,NR1D2,1.29281914113035e-172,0.428942398179975,0.460772225498374,0.397112570861575,7.49959411388401e-171
209,ATF4,1.42786475757333e-172,0.433028425983669,0.463488749505168,0.402568102462171,8.24335701668891e-171
210,CNDP2,8.61609479329058e-172,-0.53032089457398,-0.494672643375239,-0.565969145772721,4.95056189408782e-170
211,PLCB1,1.88139262773223e-171,0.254743008175121,0.274523261130476,0.234962755219766,1.07587125337522e-169
212,HAPSTR1,3.51506766551717e-171,0.448926578015774,0.480014333892371,0.417838822139177,2.00060407793067e-169
213,IRF7,6.41411766989501e-171,-0.52227582595517,-0.486606540909495,-0.557945111000846,3.63346215046728e-169
214,H1-4,8.32869520422521e-171,0.423073969907246,0.454290372824195,0.391857566990297,4.69598300627016e-169
215,JAML,5.86994596782628e-170,-0.508121937519827,-0.47270025796269,-0.543543617076965,3.29426828129264e-168
216,TMEM109,4.28871934625878e-169,-0.469855291361483,-0.438458774859587,-0.501251807863379,2.39572627925733e-167
