,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
10595,ABCA13,0.0747221216399387,NA,NA,NA,0.0888907617885595
10596,DDX17,0.0748101931368002,0.0345461306666142,0.1093794035064,-0.0402871421731718,0.0889839228778185
10597,LTF,0.0748145533748209,0.0129081864824898,0.0356361107107944,-0.00981973774581474,0.0889839228778185
10598,PHETA1,0.07501543396601,-0.0136691620099469,0.00993847010863132,-0.0372767941285251,0.0892060128038108
10599,UBE2E3,0.075009143601027,0.0652064980734035,0.141944973611834,-0.0115319774650273,0.0892060128038108
10600,GORAB,0.0750406226888475,-0.028943853249903,0.0126952961382704,-0.0705830026380764,0.089227547959456
10601,OR2M5,0.0750570006633593,-0.0137569507249132,-6.60023013896987e-05,-0.0274478991484367,0.0892301864139767
10602,ORC6,0.075050119472535,0.0369270594738066,0.0689728631713368,0.00488125577627648,0.0892301864139767
10603,DOCK9,0.0751802752189119,NA,NA,NA,0.0893683098046935
10604,CCND1,0.0752582994488342,0.00332609151312267,0.00986469684590601,-0.00321251381966067,0.0894441872940223
10605,SLC5A5,0.075256652144377,-0.0127861569490527,0.00723617863166844,-0.0328084925297738,0.0894441872940223
10606,AURKB,0.0752927080457701,-0.0151350541564515,0.0017721760893912,-0.0320422844022942,0.089476644560521
10607,FRAT1,0.0755610929952926,-0.0100286770641791,0.0169431911030178,-0.0370005452313759,0.0897871232311368
10608,CYP1B1,0.0756540397680713,NA,NA,NA,0.089889094762139
10609,KCNMB1,0.0759406296098123,0.026038125347464,0.0479684054125754,0.00410784528235273,0.0902211043078589
10610,MPZ,0.076065267646932,-0.0122319685691247,0.0161381388370478,-0.0406020759752971,0.0903606629049888
10611,PCSK5,0.0763475898483518,-0.0079790890276596,0.00183380261192928,-0.0177919806672485,0.0906874962254855
10612,PIGV,0.0764772106812108,0.0380802213552629,0.0826140654622764,-0.00645362275175056,0.0908329026975104
10613,KIF17,0.0765192245555155,NA,NA,NA,0.0908742397340731
10614,METTL18,0.0766378213099616,-0.0117630011502327,0.00467541095895929,-0.0282014132594247,0.0910065102497414
10615,SIRPB2,0.0766452181018542,0.0171317037226742,0.031904672377881,0.00235873506746743,0.0910067196378493
10616,LILRB1,0.0766812800886057,NA,NA,NA,0.0910409621549346
10617,BRWD1,0.076717240867018,0.0174006257796573,0.0970528540947715,-0.062251602535457,0.0910750780717618
10618,TBC1D4,0.0767643095331314,0.00167253661349245,0.0394830976816479,-0.0361380244546629,0.0911223730792605
10619,SPHK1,0.0770366678302961,0.0245522130033958,0.0483993574821522,0.000705068524639463,0.0914370619957672
10620,CD226,0.0771130237285781,-0.00911928124791463,0.00109735005967021,-0.0193359125554995,0.091519072605932
10621,ATP6V1F,0.0773615206706506,0.012601744979517,0.0984883258672792,-0.0732848359082451,0.0918053485107692
10622,FICD,0.0775192265994192,0.0119047596480282,0.0286472289934607,-0.0048377096974044,0.0919838384540651
10623,TPK1,0.0777558949657414,0.0175014750313434,0.0418822664978078,-0.0068793164351209,0.0922559823165024
10624,AUNIP,0.0780214714474049,0.00370151537167429,0.0144435534357915,-0.00704052269244293,0.0925623706817669
10625,MINDY2,0.0781154540606229,0.0221584498759267,0.0682650603485324,-0.0239481605966789,0.0926651466334204
10626,ZNF566,0.0782860833493812,-0.0368404628870902,-0.00126522311586884,-0.0724157026583115,0.0928588174793526
10627,INTS4,0.0785582863355773,0.0706452531463139,0.154716698541755,-0.0134261922491268,0.093172921894572
10628,FAM193B,0.0788184308683947,0.0428050976179494,0.125441418459727,-0.039831223223828,0.0934726667919879
10629,ENSG00000285447,0.0789467695092418,-0.0120266202162158,0.000301561254521623,-0.0243548016869532,0.0936160582269718
10630,ATP2B4,0.0790503496956224,0.0476121797985314,0.134465453166288,-0.0392410935692256,0.0937300665628998
10631,SMPDL3A,0.0790827574224246,NA,NA,NA,0.0937596721430006
10632,TTLL3,0.079105733561605,0.0268454068015604,0.111916680455201,-0.0582258668520798,0.0937780912161841
10633,EML5,0.0791943998016874,-0.00857827220672464,0.00111834285906909,-0.0182748872725184,0.0938743736575254
10634,ABHD6,0.0792553588165785,-0.00340899493202972,0.0182290920991536,-0.025047081963213,0.0939289649764133
10635,GDPD5,0.0792548848442644,-0.0208606191023959,0.00243981263819712,-0.0441610508429889,0.0939289649764133
10636,FBXL8,0.0796319285040864,-0.00592863983245234,0.0156144281794869,-0.0274717078443916,0.094366380863624
10637,URAD,0.080208173809765,0.013073018165301,0.0309690619827077,-0.00482302565210561,0.0950403142519768
10638,CLDN7,0.0802961025139147,-0.0185009714574655,0.000207221671838995,-0.03720916458677,0.0951355589476763
10639,DENND10,0.0804103182813676,0.015429691479552,0.0803856809603092,-0.0495262980012053,0.0952619279648799
10640,PHLDA2,0.0804425809730475,0.00907376631235401,0.0185102474949808,-0.000362714870272778,0.0952911927240875
